0,-1.2662,-1.5708,1.2662,4.1497,0.16804,1.735
0.15075,-2.371,-1.5706,2.3711,4.1496,0.16819,1.7355
0.3015,-2.4879,-1.5699,2.4881,4.1494,0.16861,1.737
0.45226,-2.5537,-1.5687,2.554,4.149,0.16923,1.7396
0.60301,-2.6023,-1.5669,2.6028,4.1484,0.17001,1.7435
0.75376,-2.6406,-1.5646,2.6413,4.1474,0.17093,1.7485
0.90451,-2.6717,-1.5618,2.6726,4.1461,0.17195,1.7547
1.0553,-2.6974,-1.5584,2.6985,4.1445,0.17305,1.7619
1.206,-2.7189,-1.5546,2.7203,4.1427,0.1742,1.7701
1.3568,-2.7372,-1.5504,2.7387,4.1405,0.17541,1.7791
1.5075,-2.7527,-1.5458,2.7545,4.1382,0.17666,1.7889
1.6583,-2.7661,-1.5409,2.7681,4.1356,0.17793,1.7992
1.809,-2.7777,-1.5358,2.7799,4.1328,0.17923,1.81
1.9598,-2.7877,-1.5305,2.7901,4.1298,0.18054,1.8211
2.1105,-2.7963,-1.525,2.799,4.1268,0.18188,1.8325
2.2613,-2.8039,-1.5195,2.8067,4.1236,0.18322,1.844
2.412,-2.8104,-1.5138,2.8135,4.1203,0.18458,1.8557
2.5628,-2.8161,-1.5082,2.8194,4.117,0.18595,1.8673
2.7135,-2.821,-1.5025,2.8246,4.1136,0.18732,1.8789
2.8643,-2.8252,-1.4969,2.8291,4.1102,0.1887,1.8904
3.015,-2.8289,-1.4914,2.833,4.1067,0.19008,1.9017
3.1658,-2.832,-1.4859,2.8364,4.1033,0.19147,1.9129
3.3165,-2.8346,-1.4804,2.8393,4.0999,0.19286,1.924
3.4673,-2.8369,-1.4751,2.8419,4.0964,0.19425,1.9348
3.618,-2.8388,-1.4698,2.8441,4.093,0.19564,1.9455
3.7688,-2.8404,-1.4647,2.846,4.0896,0.19703,1.9559
3.9196,-2.8417,-1.4596,2.8476,4.0862,0.19842,1.9662
4.0703,-2.8429,-1.4546,2.849,4.0828,0.19981,1.9764
4.2211,-2.8438,-1.4496,2.8502,4.0794,0.2012,1.9863
4.3718,-2.8446,-1.4447,2.8513,4.076,0.20259,1.9962
4.5226,-2.8453,-1.4399,2.8523,4.0726,0.20397,2.0059
4.6733,-2.8459,-1.4351,2.8532,4.0692,0.20535,2.0155
4.8241,-2.8464,-1.4303,2.854,4.0657,0.20673,2.0251
4.9748,-2.8469,-1.4255,2.8547,4.0622,0.2081,2.0346
5.1256,-2.8474,-1.4208,2.8554,4.0586,0.20948,2.044
5.2763,-2.8479,-1.416,2.8562,4.055,0.21085,2.0535
5.4271,-2.8484,-1.4113,2.8569,4.0513,0.21222,2.0629
5.5778,-2.8489,-1.4065,2.8577,4.0476,0.21359,2.0723
5.7286,-2.8495,-1.4017,2.8584,4.0438,0.21496,2.0817
5.8793,-2.85,-1.3969,2.8593,4.0399,0.21632,2.0912
6.0301,-2.8507,-1.392,2.8601,4.0359,0.21769,2.1007
6.1808,-2.8513,-1.3871,2.861,4.0318,0.21906,2.1102
6.3316,-2.852,-1.3822,2.8619,4.0277,0.22044,2.1198
6.4823,-2.8528,-1.3772,2.8629,4.0235,0.22181,2.1294
6.6331,-2.8536,-1.3722,2.8639,4.0192,0.22319,2.1391
6.7838,-2.8544,-1.3672,2.8649,4.0148,0.22458,2.1488
6.9346,-2.8552,-1.3621,2.866,4.0104,0.22597,2.1585
7.0853,-2.856,-1.3569,2.8671,4.0058,0.22738,2.1682
7.2361,-2.8569,-1.3518,2.8681,4.0012,0.22879,2.178
7.3869,-2.8577,-1.3466,2.8692,3.9966,0.23021,2.1878
7.5376,-2.8586,-1.3414,2.8703,3.9918,0.23164,2.1976
7.6884,-2.8594,-1.3361,2.8714,3.987,0.23309,2.2074
7.8391,-2.8602,-1.3309,2.8725,3.9822,0.23455,2.2171
7.9899,-2.861,-1.3256,2.8735,3.9773,0.23602,2.2269
8.1406,-2.8617,-1.3204,2.8745,3.9723,0.23751,2.2366
8.2914,-2.8624,-1.3151,2.8755,3.9674,0.23902,2.2463
8.4421,-2.863,-1.3098,2.8764,3.9623,0.24054,2.2559
8.5929,-2.8636,-1.3046,2.8773,3.9573,0.24207,2.2655
8.7436,-2.8641,-1.2993,2.8781,3.9522,0.24363,2.275
8.8944,-2.8646,-1.2941,2.8789,3.9471,0.2452,2.2845
9.0451,-2.865,-1.2889,2.8796,3.9419,0.24679,2.2939
9.1959,-2.8654,-1.2837,2.8803,3.9368,0.24839,2.3032
9.3466,-2.8656,-1.2785,2.8809,3.9316,0.25002,2.3124
9.4974,-2.8659,-1.2734,2.8815,3.9265,0.25166,2.3215
9.6481,-2.866,-1.2683,2.882,3.9213,0.25331,2.3306
9.7989,-2.8662,-1.2632,2.8825,3.9161,0.25498,2.3395
9.9496,-2.8662,-1.2582,2.8829,3.9109,0.25667,2.3484
10.1,-2.8662,-1.2532,2.8832,3.9056,0.25837,2.3572
10.251,-2.8662,-1.2482,2.8835,3.9004,0.26008,2.3659
10.402,-2.8661,-1.2432,2.8838,3.8951,0.2618,2.3746
10.553,-2.866,-1.2383,2.8841,3.8899,0.26354,2.3831
10.703,-2.8659,-1.2334,2.8843,3.8846,0.26528,2.3916
10.854,-2.8657,-1.2285,2.8844,3.8793,0.26703,2.4
11.005,-2.8655,-1.2236,2.8846,3.8739,0.26879,2.4083
11.156,-2.8653,-1.2187,2.8847,3.8686,0.27056,2.4166
11.306,-2.8651,-1.2139,2.8849,3.8632,0.27233,2.4248
11.457,-2.8649,-1.2091,2.885,3.8578,0.27411,2.4329
11.608,-2.8647,-1.2042,2.8851,3.8523,0.27589,2.441
11.759,-2.8645,-1.1994,2.8852,3.8468,0.27767,2.4491
11.909,-2.8643,-1.1946,2.8854,3.8413,0.27945,2.4571
12.06,-2.8641,-1.1898,2.8855,3.8357,0.28123,2.4651
12.211,-2.8639,-1.185,2.8857,3.83,0.283,2.4731
12.362,-2.8638,-1.1801,2.8859,3.8243,0.28478,2.481
12.512,-2.8637,-1.1753,2.8861,3.8186,0.28655,2.4889
12.663,-2.8636,-1.1704,2.8863,3.8128,0.28832,2.4968
12.814,-2.8635,-1.1655,2.8866,3.8069,0.29008,2.5047
12.965,-2.8635,-1.1606,2.8869,3.801,0.29184,2.5126
13.115,-2.8635,-1.1557,2.8872,3.795,0.2936,2.5204
13.266,-2.8635,-1.1508,2.8876,3.7889,0.29535,2.5283
13.417,-2.8636,-1.1459,2.888,3.7828,0.2971,2.5361
13.568,-2.8637,-1.1409,2.8884,3.7766,0.29884,2.5439
13.718,-2.8638,-1.1359,2.8889,3.7704,0.30058,2.5518
13.869,-2.864,-1.1309,2.8894,3.7641,0.30231,2.5596
14.02,-2.8641,-1.1259,2.8899,3.7578,0.30404,2.5674
14.171,-2.8643,-1.1209,2.8905,3.7513,0.30577,2.5751
14.321,-2.8646,-1.1158,2.891,3.7449,0.30749,2.5829
14.472,-2.8648,-1.1108,2.8916,3.7384,0.30922,2.5906
14.623,-2.865,-1.1057,2.8922,3.7318,0.31095,2.5983
14.774,-2.8653,-1.1006,2.8928,3.7252,0.31268,2.606
14.924,-2.8655,-1.0955,2.8934,3.7186,0.31441,2.6137
15.075,-2.8658,-1.0904,2.8941,3.7119,0.31614,2.6213
15.226,-2.866,-1.0853,2.8947,3.7052,0.31789,2.6289
15.377,-2.8662,-1.0802,2.8953,3.6984,0.31963,2.6364
15.527,-2.8664,-1.0751,2.8959,3.6917,0.32139,2.6439
15.678,-2.8666,-1.07,2.8965,3.6849,0.32316,2.6513
15.829,-2.8668,-1.065,2.8971,3.678,0.32494,2.6587
15.98,-2.8669,-1.0599,2.8977,3.6712,0.32673,2.666
16.13,-2.867,-1.0549,2.8982,3.6644,0.32854,2.6733
16.281,-2.8671,-1.0498,2.8987,3.6575,0.33036,2.6804
16.432,-2.8672,-1.0448,2.8992,3.6506,0.3322,2.6876
16.583,-2.8672,-1.0398,2.8997,3.6438,0.33405,2.6946
16.733,-2.8672,-1.0348,2.9001,3.6369,0.33592,2.7016
16.884,-2.8671,-1.0299,2.9005,3.63,0.33782,2.7085
17.035,-2.867,-1.0249,2.9008,3.6231,0.33973,2.7153
17.186,-2.8668,-1.02,2.9011,3.6163,0.34166,2.722
17.336,-2.8666,-1.0151,2.9014,3.6094,0.34361,2.7287
17.487,-2.8664,-1.0103,2.9016,3.6025,0.34558,2.7353
17.638,-2.8662,-1.0054,2.9018,3.5956,0.34758,2.7418
17.789,-2.8659,-1.0006,2.902,3.5887,0.34959,2.7483
17.939,-2.8655,-0.9958,2.9021,3.5818,0.35162,2.7546
18.09,-2.8652,-0.99101,2.9022,3.5749,0.35367,2.7609
18.241,-2.8648,-0.98623,2.9023,3.5679,0.35574,2.7672
18.392,-2.8644,-0.98146,2.9024,3.561,0.35782,2.7733
18.543,-2.864,-0.97671,2.9024,3.554,0.35992,2.7794
18.693,-2.8635,-0.97195,2.9024,3.547,0.36204,2.7855
18.844,-2.863,-0.96721,2.9024,3.54,0.36416,2.7915
18.995,-2.8626,-0.96246,2.9024,3.533,0.3663,2.7974
19.146,-2.8621,-0.95771,2.9024,3.5259,0.36845,2.8033
19.296,-2.8616,-0.95296,2.9024,3.5188,0.3706,2.8091
19.447,-2.8612,-0.9482,2.9024,3.5116,0.37276,2.815
19.598,-2.8607,-0.94342,2.9024,3.5044,0.37493,2.8207
19.749,-2.8602,-0.93864,2.9024,3.4972,0.37709,2.8265
19.899,-2.8598,-0.93384,2.9025,3.4899,0.37926,2.8322
20.05,-2.8594,-0.92902,2.9025,3.4825,0.38142,2.8379
20.201,-2.859,-0.92418,2.9026,3.4751,0.38358,2.8435
20.352,-2.8586,-0.91932,2.9027,3.4676,0.38573,2.8492
20.502,-2.8582,-0.91444,2.9029,3.4601,0.38788,2.8548
20.653,-2.8579,-0.90954,2.903,3.4525,0.39002,2.8604
20.804,-2.8576,-0.90462,2.9032,3.4449,0.39214,2.866
20.955,-2.8573,-0.89967,2.9035,3.4371,0.39426,2.8715
21.105,-2.8571,-0.8947,2.9038,3.4294,0.39636,2.8771
21.256,-2.8568,-0.88972,2.9041,3.4216,0.39845,2.8826
21.407,-2.8566,-0.88471,2.9044,3.4137,0.40052,2.8881
21.558,-2.8565,-0.87969,2.9048,3.4058,0.40259,2.8936
21.708,-2.8563,-0.87466,2.9052,3.3978,0.40464,2.899
21.859,-2.8562,-0.86962,2.9056,3.3898,0.40667,2.9045
22.01,-2.8561,-0.86457,2.906,3.3818,0.4087,2.9099
22.161,-2.856,-0.85952,2.9065,3.3737,0.41071,2.9152
22.311,-2.8559,-0.85448,2.907,3.3656,0.41272,2.9206
22.462,-2.8558,-0.84944,2.9075,3.3575,0.41471,2.9258
22.613,-2.8557,-0.8444,2.908,3.3494,0.41671,2.9311
22.764,-2.8556,-0.83939,2.9085,3.3412,0.4187,2.9362
22.914,-2.8555,-0.83439,2.9089,3.3331,0.42069,2.9414
23.065,-2.8554,-0.82941,2.9094,3.325,0.42268,2.9464
23.216,-2.8553,-0.82446,2.9099,3.3169,0.42468,2.9514
23.367,-2.8551,-0.81954,2.9103,3.3088,0.42668,2.9563
23.517,-2.8549,-0.81465,2.9107,3.3007,0.4287,2.9611
23.668,-2.8547,-0.8098,2.9111,3.2927,0.43074,2.9659
23.819,-2.8544,-0.80498,2.9114,3.2847,0.43279,2.9705
23.97,-2.8541,-0.8002,2.9117,3.2767,0.43487,2.9751
24.12,-2.8538,-0.79546,2.912,3.2687,0.43697,2.9796
24.271,-2.8534,-0.79075,2.9122,3.2608,0.43911,2.984
24.422,-2.853,-0.78608,2.9123,3.253,0.44128,2.9883
24.573,-2.8525,-0.78143,2.9125,3.2451,0.44348,2.9925
24.723,-2.852,-0.77682,2.9125,3.2373,0.44572,2.9966
24.874,-2.8514,-0.77223,2.9126,3.2295,0.44801,3.0006
25.025,-2.8508,-0.76765,2.9125,3.2217,0.45033,3.0045
25.176,-2.8502,-0.76309,2.9125,3.2139,0.4527,3.0084
25.326,-2.8495,-0.75853,2.9124,3.2061,0.45511,3.0122
25.477,-2.8487,-0.75396,2.9123,3.1983,0.45757,3.0159
25.628,-2.8479,-0.74939,2.9121,3.1905,0.46008,3.0195
25.779,-2.8471,-0.74479,2.912,3.1826,0.46262,3.0231
25.929,-2.8463,-0.74016,2.9118,3.1747,0.46521,3.0266
26.08,-2.8454,-0.7355,2.9117,3.1668,0.46784,3.0301
26.231,-2.8445,-0.73079,2.9115,3.1587,0.47051,3.0336
26.382,-2.8436,-0.72604,2.9114,3.1506,0.47321,3.037
26.532,-2.8428,-0.72122,2.9112,3.1424,0.47593,3.0404
26.683,-2.8419,-0.71635,2.9111,3.1341,0.47868,3.0438
26.834,-2.841,-0.71142,2.9111,3.1258,0.48145,3.0472
26.985,-2.8401,-0.70643,2.9111,3.1173,0.48422,3.0506
27.135,-2.8393,-0.70139,2.9111,3.1087,0.48701,3.054
27.286,-2.8384,-0.6963,2.9112,3.1,0.48978,3.0573
27.437,-2.8376,-0.69118,2.9113,3.0912,0.49255,3.0607
27.588,-2.8368,-0.68603,2.9114,3.0824,0.49529,3.0641
27.738,-2.8361,-0.68089,2.9116,3.0736,0.49801,3.0674
27.889,-2.8354,-0.67576,2.9118,3.0647,0.50068,3.0707
28.04,-2.8347,-0.6707,2.912,3.0559,0.5033,3.0739
28.191,-2.834,-0.66571,2.9122,3.0471,0.50586,3.0771
28.341,-2.8334,-0.66086,2.9124,3.0385,0.50835,3.0802
28.492,-2.8328,-0.65617,2.9126,3.0301,0.51074,3.0832
28.643,-2.8322,-0.65169,2.9128,3.022,0.51304,3.086
28.794,-2.8317,-0.64747,2.9128,3.0143,0.51521,3.0887
28.944,-2.8312,-0.64355,2.9129,3.0071,0.51725,3.0911
29.095,-2.8307,-0.64,2.9128,3.0004,0.51912,3.0934
29.246,-2.8303,-0.63685,2.9128,2.9944,0.52082,3.0953
29.397,-2.8299,-0.63414,2.9127,2.9892,0.5223,3.097
29.547,-2.8295,-0.63191,2.9126,2.9849,0.52353,3.0983
29.698,-2.8292,-0.63017,2.9125,2.9817,0.52447,3.0992
29.849,-2.8291,-0.62894,2.9127,2.9797,0.52508,3.0998
30,-2.8291,-0.62818,2.9131,2.979,0.52529,3.1
